Date,Wind Speed (m/s),Atmospheric Pressure (mb),Solar Radiation (cal/cm2),Evaporation (mm),Relative Humidity (%),Max Temperature,Min Temperature,Average Temperature,Daily Rainfall
2019-02-10,1.5,1012.8,577.2,1.7,86,19.8,15.3,16.9,0.0
2019-03-03,1.0,1001.2,632.7,0.3,91,21.0,16.0,18.0,7.5
2019-04-07,0.9,1001.9,635.1,2.1,81,29.9,18.7,23.2,0.0
2019-05-05,2.0,1001.6,1023.7,4.3,71,28.1,18.6,23.2,0.0
2019-06-09,0.9,994.2,1317.4,2.4,80,33.0,24.1,27.5,0.0
2019-06-30,0.3,993.4,993.0,3.8,82,35.5,25.2,29.3,0.0
2019-08-04,1.7,992.1,1657.2,4.2,75,35.6,24.4,29.6,0.0
2019-09-01,2.8,998.1,1662.7,7.6,64,33.8,27.3,30.1,0.0
2019-10-15,0.0,1012.1,739.3,1.9,89,23.4,18.6,20.2,2.0
2019-11-03,0.2,1004.7,1073.2,1.6,92,22.8,20.7,21.9,2.0
2019-12-01,0.6,1007.6,510.5,2.9,83,28.2,15.2,20.1,0.0
2020-01-12,0.2,1008.5,825.9,1.1,94,17.0,12.6,13.9,5.0
2020-02-02,1.1,1012.4,385.5,3.5,77,23.7,9.7,15.3,0.0
2020-03-18,0.3,1005.8,542.2,1.8,86,23.3,15.9,18.8,1.0
2020-04-05,0.7,1010.9,824.4,1.9,88,17.6,14.7,15.6,3.0
2020-05-03,0.7,998.1,1022.9,5,79,33.5,21.3,26.3,0.0
2020-06-07,0.3,997.5,1031.4,1.8,89,30.2,23.9,25.6,12.0
2020-07-05,0.5,997.0,539.7,2.3,81,35.9,24.4,28.2,9.5
2020-08-04,0.3,996.9,276.8,0.8,84,32.1,23.5,27.1,1.5
2020-09-06,1.4,995.9,287.7,4.8,65,32.0,19.7,24.8,0.0
2020-10-11,0.6,1000.8,975.8,3.9,87,27.3,21.6,24.0,12.5
2020-11-01,2.3,1004.9,193.6,2.8,74,28.4,19.8,23.4,1.5
2020-12-06,0.6,1010.3,211.8,1,87,21.0,16.9,18.6,3.5
2021-01-27,0.4,1007.9,189.0,0.5,85,18.8,16.0,17.1,2.0
2021-01-31,1.6,1011.3,60.4,2.7,72,24.8,12.0,17.5,0.0
2021-03-14,2.7,1007.1,194.5,3.6,70,22.9,15.6,19.0,0.0
2021-04-12,1.4,1005.5,208.4,2.5,77,31.8,18.6,23.5,0.0
2021-05-03,2.3,1003.9,95.4,45.9,76,27.4,21.9,24.9,0.5
2021-05-31,0.2,996.4,985.0,4.2,92,25.7,22.7,24.0,51.5
2021-07-04,0.4,998.8,456.2,3.3,80,35.1,25.4,29.0,0.0
2021-08-01,0.2,988.2,316.3,0.4,84,30.7,24.3,27.3,0.0
2021-09-12,4.0,986.5,226.1,0.3,84,27.4,24.2,25.4,165.5
2021-10-03,2.5,1003.4,710.8,7.8,61,32.7,22.3,28.1,0.0
2021-11-07,1.1,1002.4,877.4,3.2,73,30.7,19.8,24.4,0.0
2021-12-05,0.7,1010.6,243.9,0.9,80,22.7,14.1,17.7,2.0
2022-01-20,1.9,1010.0,392.7,2.5,82,17.5,15.0,16.1,4.0
2022-02-13,1.4,1004.4,378.5,2.5,83,22.5,15.2,18.1,14.5
2022-03-06,2.1,1006.5,206.0,5.3,73,20.1,17.0,18.7,1.0
2022-04-10,0.9,1002.2,528.8,3.7,70,33.4,17.1,23.8,0.0
2022-05-08,1.5,1008.1,349.2,5.8,65,22.0,10.5,15.6,0.5
2022-05-31,0.5,1008.3,136.7,0.8,86,23.5,16.7,20.2,105.0
2022-07-03,0.2,995.9,270.3,0.1,87,33.1,24.3,27.0,11.0
2022-07-31,0.4,993.7,536.9,4.4,70,37.4,23.8,29.6,0.0
2022-09-14,1.0,994.2,464.0,0.6,76,32.5,22.4,26.8,6.5
2022-10-02,1.8,1003.5,537.4,1,66,35.7,22.5,28.6,0.0
2022-11-06,1.7,1009.3,174.6,0.7,82,22.8,17.7,20.1,1.0
2022-12-04,0.0,1008.1,180.9,0.2,90,21.3,19.1,20.1,10.0
