Sampling Date,Carlson Index,Water Temperature,pH Value,Conductivity,Dissolved Oxygen (Electrode Method),Transparency,Chlorophyll-a,Total Phosphorus,Turbidity,Suspended Solids,Chemical Oxygen Demand,Ammonia Nitrogen
2021-10-04,37.0,29.0,7.0,74.0,8.65,4.45,4.45,0.01,1.0,-1.0,8.3,0.02
2021-11-08,38.35,23.85,7.3,68.0,7.35,4.7,2.55,0.01,0.78,-1.0,8.3,0.02
2021-12-06,36.35,22.1,7.05,70.0,6.9,4.35,1.15,0.01,0.85,-1.0,8.3,0.01
2022-01-21,37.0,19.4,6.75,66.0,8.2,5.55,2.0,0.01,0.35,1.7,3.2,0.01
2022-02-14,35.0,18.4,7.2,69.0,7.25,6.0,2.0,0.01,0.65,1.1,3.2,0.03
2022-03-07,38.0,18.75,7.7,70.0,8.9,5.4,3.1,0.01,0.98,1.0,3.2,0.01
2022-04-11,38.0,23.95,7.85,69.0,8.6,4.95,2.4,0.01,0.98,1.0,3.2,0.06
2022-05-09,34.5,25.3,8.0,81.0,8.8,5.3,1.75,0.01,0.82,1.0,3.5,0.05
2022-06-01,36.0,27.6,8.0,66.5,8.3,2.75,1.45,0.01,1.2,1.0,4.15,0.05
2022-07-04,40.0,31.2,8.9,90.5,9.05,3.6,3.3,0.01,1.35,1.0,4.35,0.05
2022-08-01,42.0,32.75,8.75,75.0,7.3,3.0,3.2,0.01,1.8,1.0,5.4,0.0
2022-09-15,40.5,28.5,7.45,68.0,7.6,3.5,3.55,0.01,1.45,2.8,2.65,0.04
2022-10-03,41.0,29.1,8.85,72.5,8.65,4.1,3.6,0.01,0.95,-1.0,4.8,0.03
2022-11-07,39.0,23.3,7.2,64.0,7.8,4.75,2.75,0.01,1.0,-1.0,2.35,0.01
2022-12-05,37.0,21.95,7.65,63.0,7.6,5.3,1.95,0.01,0.8,-1.0,3.17,0.02
